Year,State,Count,Sum_Homicide offenses,Sum_Fraud offenses,Sum_Human trafficking,Sum_Counterfeiting,Sum_Embezzlement,Sum_Pornography,Political_Leaning,PolClass,PolClassBin,Population,Per Capita SAR,Per Capita Homicide,Per Capita Fraud,Per Capita Trafficking,Per Capita Counterfeit,Per Capita Embezzlement,Per Capita Pornography,
2016,Utah,45571,19,10,8,8,0,7,0,C,C,3041868,149.810000,0.624616,0.328745,0.262996,0.262996,0.000000,0.230122,
2016,Vermont,4534,1,0,0,0,0,0,1,L,L,623657,72.700000,0.160345,0.000000,0.000000,0.000000,0.000000,0.000000,
2016,Virginia,104131,108,4,1,2,0,25,0,C,C,8410106,123.820000,1.284169,0.047562,0.011890,0.023781,0.000000,0.297261,
2016,Washington,35858,52,10,1,2,0,3,1,L,L,7294771,49.160000,0.712839,0.137084,0.013708,0.027417,0.000000,0.041125,
2016,West Virginia,9810,30,7,4,1,1,0,0,C,C,1831023,53.580000,1.638428,0.382300,0.218457,0.054614,0.054614,0.000000,
2016,Wisconsin,19780,33,10,4,3,0,7,0,C,C,5772628,34.270000,0.571663,0.173231,0.069293,0.051969,0.000000,0.121262,
2016,Wyoming,3044,0,0,1,7,0,1,0,C,C,584215,52.100000,0.000000,0.000000,0.171170,1.198189,0.000000,0.171170,
2017,Alabama,29822,172,13,12,4,0,32,0,C,C,4874486,61.180000,3.528577,0.266695,0.246180,0.082060,0.000000,0.656479,
2017,Alaska,5162,1,0,0,0,0,1,0,C,C,739700,69.790000,0.135190,0.000000,0.000000,0.000000,0.000000,0.135190,
2017,Arizona,38512,90,22,3,8,2,13,0,C,C,7044008,54.670000,1.277682,0.312322,0.042589,0.113572,0.028393,0.184554,
2017,Arkansas,15955,29,1,0,3,0,3,0,C,C,3001345,53.160000,0.966233,0.033318,0.000000,0.099955,0.000000,0.099955,
2017,California,395658,651,79,11,13,5,39,1,L,L,39358497,100.530000,1.654027,0.200719,0.027948,0.033030,0.012704,0.099089,
2017,Colorado,70075,6,4,1,0,0,0,1,L,L,5611885,124.870000,0.106916,0.071277,0.017819,0.000000,0.000000,0.000000,
2017,Connecticut,25174,18,1,0,0,0,3,1,L,L,3573297,70.450000,0.503736,0.027985,0.000000,0.000000,0.000000,0.083956,
2017,Delaware,68221,10,1,0,1,0,0,1,L,L,956823,712.990000,1.045125,0.104513,0.000000,0.104513,0.000000,0.000000,
